,text,POS,lemma,lemma_count,lemmas,lemma_combination_count,start_idx,end_idx,text_ID,paragraph_idx,sentence_initial,valid,AOI_IDX,end_token_idx,start_token_idx
44,leiderstruien,NOUN,trui,13,trui,1,223,223,0.0,4.0,False,Lemma occurs to often,101,45.0,45.0
45,alle kleuren,"PRON, NOUN",kleuren,1,"alle, kleuren",1,225,226,0.0,4.0,False,,"102, 103",48.0,47.0
46,bloed,NOUN,bloed,1,bloed,1,229,229,0.0,5.0,False,,104,2.0,2.0
47,zweet,NOUN,zweet,1,zweet,1,231,231,0.0,5.0,True,,105,3.0,3.0
48,tranen,NOUN,tranen,1,tranen,1,233,233,0.0,5.0,False,,106,5.0,5.0
49,de beste wielrenner,"DET, ADJ, NOUN",wielrenner,2,"de, beste, wielrenner",1,235,237,0.0,5.0,False,,"107, 108, 109",9.0,7.0
50,negentig keer,"NUM, NOUN",keer,2,"negentig, keer",1,240,241,0.0,5.0,False,,"110, 111",13.0,12.0
51,het gele sportshirt,"DET, ADJ, NOUN",sportshirt,1,"het, gele, sportshirt",1,242,244,0.0,5.0,False,,"112, 113, 114",16.0,14.0
52,honderd keer,"NUM, NOUN",keer,2,"honderd, keer",1,253,254,0.0,5.0,False,,"115, 116",25.0,24.0
53,de bijbehorende inloopkast,"DET, ADJ, NOUN",inloopkast,1,"de, bijbehorende, inloopkast",1,263,265,0.0,5.0,False,,"117, 118, 119",35.0,33.0
54,cadeau,NOUN,cadeau,1,cadeau,1,266,266,0.0,5.0,False,,120,36.0,36.0
55,klimaatverandering,NOUN,klimaatverandering,2,klimaatverandering,2,274,274,1.0,0.0,False,,121,6.0,6.0
56,Het klimaat,"DET, NOUN",klimaat,4,"het, klimaat",4,276,277,1.0,1.0,False,Sentence initial,"122, 123",2.0,1.0
57,de temperatuur,"DET, NOUN",temperatuur,2,"de, temperatuur",2,280,281,1.0,1.0,False,,"124, 125",6.0,5.0
58,aarde,NOUN,aarde,4,aarde,2,283,283,1.0,1.0,False,,126,8.0,8.0
59,De reden,"DET, NOUN",reden,1,"de, reden",1,286,287,1.0,1.0,False,Sentence initial,"127, 128",11.0,10.0
60,meer broeikasgassen,"NUM, NOUN",broeikasgassen,5,"meer, broeikasgassen",1,293,294,1.0,1.0,False,,"129, 130",18.0,17.0
61,koolstofdioxide,NOUN,koolstofdioxide,4,koolstofdioxide,3,296,296,1.0,1.0,False,,131,20.0,20.0
62,de lucht,"DET, NOUN",lucht,2,"de, lucht",2,298,299,1.0,1.0,False,,"132, 133",23.0,22.0
63,De mens,"DET, NOUN",mens,6,"de, mens",2,302,303,1.0,1.0,False,Lemma occurs to often,"134, 135",26.0,25.0
64,de opwarming,"DET, NOUN",opwarming,1,"de, opwarming",1,308,309,1.0,1.0,False,,"136, 137",32.0,31.0
65,de aarde,"DET, NOUN",aarde,4,"de, aarde",2,311,312,1.0,1.0,False,,"138, 139",35.0,34.0
66,Broeikasgassen,NOUN,broeikasgassen,5,broeikasgassen,1,314,314,1.0,2.0,True,Sentence initial,140,1.0,1.0
67,koolstofdioxide,NOUN,koolstofdioxide,4,koolstofdioxide,3,316,316,1.0,2.0,False,,141,3.0,3.0
68,waterdamp,NOUN,waterdamp,1,waterdamp,1,318,318,1.0,2.0,False,,142,5.0,5.0
69,de atmosfeer,"DET, NOUN",atmosfeer,1,"de, atmosfeer",1,323,324,1.0,2.0,False,,"143, 144",11.0,10.0
70,de warmte,"DET, NOUN",warmte,1,"de, warmte",1,329,330,1.0,2.0,False,,"145, 146",16.0,15.0
71,de zon,"DET, NOUN",zon,1,"de, zon",1,332,333,1.0,2.0,False,,"147, 148",19.0,18.0
72,deze broeikasgassen,"PRON, NOUN",broeikasgassen,5,"deze, broeikasgassen",2,338,339,1.0,2.0,False,,"149, 150",24.0,23.0
73,aarde,NOUN,aarde,4,aarde,2,343,343,1.0,2.0,False,,151,28.0,28.0
74,dit broeikaseffect,"PRON, NOUN",broeikaseffect,2,"dit, broeikaseffect",1,353,354,1.0,2.0,False,,"152, 153",38.0,37.0
75,de mens,"DET, NOUN",mens,6,"de, mens",2,357,358,1.0,2.0,False,Lemma occurs to often,"154, 155",42.0,41.0
76,de fossiele brandstoffen,"DET, ADJ, NOUN",brandstoffen,2,"de, fossiele, brandstoffen",1,365,367,1.0,2.0,False,,"156, 157, 158",50.0,48.0
77,de verbranding,"DET, NOUN",verbranding,1,"de, verbranding",1,373,374,1.0,3.0,False,,"159, 160",3.0,2.0
78,deze brandstoffen,"PRON, NOUN",brandstoffen,2,"deze, brandstoffen",1,376,377,1.0,3.0,False,,"161, 162",6.0,5.0
79,koolstofdioxide,NOUN,koolstofdioxide,4,koolstofdioxide,3,379,379,1.0,3.0,False,,163,8.0,8.0
80,veertig procent,"NUM, NOUN",procent,1,"veertig, procent",1,385,386,1.0,3.0,False,,"164, 165",14.0,13.0
81,meer koolstofdioxide,"NUM, NOUN",koolstofdioxide,4,"meer, koolstofdioxide",1,387,388,1.0,3.0,False,,"166, 167",16.0,15.0
82,de lucht,"DET, NOUN",lucht,2,"de, lucht",2,390,391,1.0,3.0,False,,"168, 169",19.0,18.0
83,een paar eeuwen,"DET, ADJ, NOUN",eeuw,3,"een, paar, eeuw",1,393,395,1.0,3.0,False,,"170, 171, 172",23.0,21.0
84,deze broeikasgassen,"PRON, NOUN",broeikasgassen,5,"deze, broeikasgassen",2,399,400,1.0,3.0,False,,"173, 174",27.0,26.0
85,de aarde,"DET, NOUN",aarde,4,"de, aarde",2,404,405,1.0,3.0,False,,"175, 176",32.0,31.0
86,een halve graad,"DET, ADJ, NOUN",graad,2,"een, halve, graad",1,412,414,1.0,3.0,False,,"177, 178, 179",40.0,38.0
87,een eeuw,"DET, NOUN",eeuw,3,"een, eeuw",2,417,418,1.0,3.0,False,,"180, 181",44.0,43.0
88,de stijging,"DET, NOUN",stijging,1,"de, stijging",1,422,423,1.0,4.0,False,,"182, 183",3.0,2.0
89,de temperatuur,"DET, NOUN",temperatuur,2,"de, temperatuur",2,425,426,1.0,4.0,False,,"184, 185",6.0,5.0
90,het klimaat,"DET, NOUN",klimaat,4,"het, klimaat",4,428,429,1.0,4.0,False,,"186, 187",9.0,8.0
91,Bekende wetenschappers,"ADJ, NOUN",wetenschappers,1,"bekende, wetenschappers",1,439,440,1.0,4.0,True,Sentence initial,"188, 189",18.0,17.0
92,de gevolgen,"DET, NOUN",gevolgen,1,"de, gevolgen",1,449,450,1.0,4.0,False,,"190, 191",27.0,26.0
93,het klimaat,"DET, NOUN",klimaat,4,"het, klimaat",4,452,453,1.0,4.0,False,,"192, 193",30.0,29.0
94,het klimaat,"DET, NOUN",klimaat,4,"het, klimaat",4,459,460,1.0,4.0,False,,"194, 195",37.0,36.0
95,twee graden,"NUM, NOUN",graad,2,"twee, graad",1,464,465,1.0,4.0,False,,"196, 197",42.0,41.0
96,minder broeikasgassen,"NUM, NOUN",broeikasgassen,5,"minder, broeikasgassen",1,473,474,1.0,4.0,False,,"198, 199",50.0,49.0
97,maatregelen,NOUN,maatregelen,1,maatregelen,1,480,480,1.0,4.0,False,,200,55.0,55.0
98,een steentje,"DET, NOUN",steentje,1,"een, steentje",1,487,488,1.0,5.0,False,,"201, 202",5.0,4.0
99,de strijd,"DET, NOUN",strijd,1,"de, strijd",1,491,492,1.0,5.0,False,,"203, 204",9.0,8.0
100,klimaatverandering,NOUN,klimaatverandering,2,klimaatverandering,2,494,494,1.0,5.0,False,,205,11.0,11.0
101,een paar tips,"DET, ADJ, NOUN",tips,1,"een, paar, tips",1,498,500,1.0,5.0,False,,"206, 207, 208",16.0,14.0
102,energie,NOUN,energie,1,energie,1,506,506,1.0,5.0,False,,209,21.0,21.0
103,een duurzame energieproducent,"DET, ADJ, NOUN",energieproducent,1,"een, duurzame, energieproducent",1,511,513,1.0,5.0,False,,"210, 211, 212",28.0,26.0
104,vliegtuigen,NOUN,vliegtuigen,1,vliegtuigen,1,520,520,1.0,5.0,False,,213,34.0,34.0
105,het broeikaseffect,"DET, NOUN",broeikaseffect,2,"het, broeikaseffect",1,524,525,1.0,5.0,False,,"214, 215",39.0,38.0
106,geen gebruik,"PRON, NOUN",gebruik,1,"geen, gebruik",1,529,530,1.0,5.0,False,,"216, 217",43.0,42.0
107,vliegreizen,NOUN,vliegreizen,1,vliegreizen,1,532,532,1.0,5.0,False,,218,45.0,45.0
108,de bus,"DET, NOUN",bus,1,"de, bus",1,536,537,1.0,5.0,False,,"219, 220",50.0,49.0
109,de trein,"DET, NOUN",trein,1,"de, trein",1,539,540,1.0,5.0,False,,"221, 222",53.0,52.0
110,je vakantiebestemming,"PRON, NOUN",vakantiebestemming,1,"je, vakantiebestemming",1,542,543,1.0,5.0,False,,"223, 224",56.0,55.0
111,Dialect,NOUN,dialect,11,dialect,6,545,545,2.0,0.0,True,Lemma occurs to often,225,1.0,1.0
112,vooroordelen,NOUN,vooroordelen,3,vooroordelen,1,547,547,2.0,0.0,False,,226,3.0,3.0
113,de kolere,"DET, NOUN",kolere,1,"de, kolere",1,551,552,2.0,1.0,False,,"227, 228",5.0,4.0
114,een verfilming,"DET, NOUN",verfilming,1,"een, verfilming",1,557,558,2.0,1.0,False,,"229, 230",10.0,9.0
115,een bekend kinderboek,"DET, ADJ, NOUN",kinderboek,1,"een, bekend, kinderboek",1,560,562,2.0,1.0,False,,"231, 232, 233",14.0,12.0
116,De acteur,"DET, NOUN",acteur,1,"de, acteur",1,565,566,2.0,1.0,False,Sentence initial,"234, 235",17.0,16.0
117,zijn optreden,"PRON, NOUN",optreden,1,"zijn, optreden",1,569,570,2.0,1.0,False,,"236, 237",21.0,20.0
118,de film,"DET, NOUN",film,1,"de, film",1,572,573,2.0,1.0,False,,"238, 239",24.0,23.0
119,een typisch voorbeeld,"DET, ADJ, NOUN",voorbeeld,2,"een, typisch, voorbeeld",1,575,577,2.0,1.0,False,,"240, 241, 242",28.0,26.0
120,een straatjongen,"DET, NOUN",straatjongen,1,"een, straatjongen",1,579,580,2.0,1.0,False,,"243, 244",31.0,30.0
121,de hoofdstad,"DET, NOUN",hoofdstad,1,"de, hoofdstad",1,582,583,2.0,1.0,False,,"245, 246",34.0,33.0
122,zulke figuren,"PRON, NOUN",figuren,1,"zulke, figuren",1,587,588,2.0,1.0,False,,"247, 248",38.0,37.0
123,regelmatig vooroordelen,"NUM, NOUN",vooroordelen,3,"regelmatig, vooroordelen",1,590,591,2.0,1.0,False,,"249, 250",41.0,40.0
124,uiterlijk,NOUN,uiterlijk,1,uiterlijk,1,598,598,2.0,1.0,False,,251,47.0,47.0
125,afkomst,NOUN,afkomst,1,afkomst,1,600,600,2.0,1.0,False,,252,49.0,49.0
126,taal,NOUN,taal,5,taal,3,604,604,2.0,1.0,False,,253,52.0,52.0
127,een belangrijke rol,"DET, ADJ, NOUN",rol,1,"een, belangrijke, rol",1,607,609,2.0,1.0,False,,"254, 255, 256",57.0,55.0
128,Dialecten,NOUN,dialect,11,dialect,6,613,613,2.0,2.0,True,Lemma occurs to often,257,1.0,1.0
129,veel mensen,"NUM, NOUN",mens,6,"veel, mens",1,616,617,2.0,2.0,False,Lemma occurs to often,"258, 259",5.0,4.0
130,een minderwaardige vorm,"DET, ADJ, NOUN",vorm,1,"een, minderwaardige, vorm",1,619,621,2.0,2.0,False,,"260, 261, 262",9.0,7.0
131,taal,NOUN,taal,5,taal,3,623,623,2.0,2.0,False,,263,11.0,11.0
132,personen,NOUN,personen,1,personen,1,628,628,2.0,2.0,False,,264,15.0,15.0
133,een dialect,"DET, NOUN",dialect,11,"een, dialect",1,631,632,2.0,2.0,False,Lemma occurs to often,"265, 266",19.0,18.0
134,Amsterdammers,NOUN,amsterdam,3,amsterdam,3,638,638,2.0,2.0,True,Token contains Named Entity,267,24.0,24.0
135,sommige mensen,"PRON, NOUN",mens,6,"sommige, mens",1,641,642,2.0,2.0,False,Lemma occurs to often,"268, 269",28.0,27.0
136,Hun taalgebruik,"PRON, NOUN",taal,5,"hun, taal",1,651,652,2.0,2.0,False,Sentence initial,"270, 271",36.0,35.0
137,een negatief imago,"DET, ADJ, NOUN",imago,1,"een, negatief, imago",1,660,662,2.0,2.0,False,,"272, 273, 274",45.0,43.0
138,alle dialecten,"PRON, NOUN",dialect,11,"alle, dialect",1,665,666,2.0,3.0,False,Lemma occurs to often,"275, 276",3.0,2.0
139,dezelfde manier,"PRON, NOUN",manier,2,"dezelfde, manier",1,669,670,2.0,3.0,False,,"277, 278",7.0,6.0
140,steden,NOUN,steden,1,steden,1,674,674,2.0,3.0,False,,279,10.0,10.0
141,de volkstaal,"DET, NOUN",volkstaal,2,"de, volkstaal",2,676,677,2.0,3.0,False,,"280, 281",13.0,12.0
142,de lagere klasse,"DET, ADJ, NOUN",klasse,2,"de, lagere, klasse",1,680,682,2.0,3.0,False,,"282, 283, 284",18.0,16.0
143,stadsdialecten,NOUN,dialect,11,dialect,6,687,687,2.0,3.0,False,Lemma occurs to often,285,22.0,22.0
144,verband,NOUN,verband,1,verband,1,690,690,2.0,3.0,False,,286,25.0,25.0
145,een lager milieu,"DET, ADJ, NOUN",milieu,1,"een, lager, milieu",1,693,695,2.0,3.0,False,,"287, 288, 289",30.0,28.0
146,Amsterdams,NOUN,amsterdam,3,amsterdam,3,697,697,2.0,3.0,True,Token contains Named Entity,290,31.0,31.0
147,een lage klasse,"DET, ADJ, NOUN",klasse,2,"een, lage, klasse",1,701,703,2.0,3.0,False,,"291, 292, 293",37.0,35.0
148,streekdialecten,NOUN,dialect,11,dialect,6,707,707,2.0,4.0,False,Lemma occurs to often,294,2.0,2.0
149,het platteland,"DET, NOUN",platteland,1,"het, platteland",1,713,714,2.0,4.0,False,,"295, 296",8.0,7.0
150,meer mensen,"NUM, NOUN",mens,6,"meer, mens",1,716,717,2.0,4.0,False,Lemma occurs to often,"297, 298",11.0,10.0
151,de streektaal,"DET, NOUN",taal,5,"de, taal",1,718,719,2.0,4.0,False,,"299, 300",13.0,12.0
152,de stad,"DET, NOUN",stad,1,"de, stad",1,722,723,2.0,4.0,False,,"301, 302",17.0,16.0
153,tegenstelling,NOUN,tegenstelling,2,tegenstelling,2,729,729,2.0,4.0,False,,303,22.0,22.0
154,de stadsdialecten,"DET, NOUN",dialect,11,"de, dialect",1,731,732,2.0,4.0,False,Lemma occurs to often,"304, 305",25.0,24.0
155,streekdialecten,NOUN,dialect,11,dialect,6,734,734,2.0,4.0,False,Lemma occurs to often,306,27.0,27.0
156,een sterke lobby,"DET, ADJ, NOUN",lobby,1,"een, sterke, lobby",1,736,738,2.0,4.0,False,,"307, 308, 309",31.0,29.0
157,een duidelijk verschil,"DET, ADJ, NOUN",verschil,1,"een, duidelijk, verschil",1,743,745,2.0,4.0,False,,"310, 311, 312",37.0,35.0
158,stadsdialecten,NOUN,dialect,11,dialect,6,750,750,2.0,4.0,False,Lemma occurs to often,313,42.0,42.0
159,plattelandsdialecten,NOUN,plattelandsdialecten,1,plattelandsdialecten,1,752,752,2.0,4.0,False,,314,44.0,44.0
160,meer zangers,"NUM, NOUN",zangers,1,"meer, zangers",1,759,760,2.0,5.0,False,,"315, 316",5.0,4.0
161,liedjes,NOUN,lied,3,lied,2,763,763,2.0,5.0,False,,317,8.0,8.0
162,hun eigen dialect,"PRON, ADJ, NOUN",dialect,11,"hun, eigen, dialect",1,767,769,2.0,5.0,False,Lemma occurs to often,"318, 319, 320",14.0,12.0
163,zulke artiesten,"PRON, NOUN",artiesten,1,"zulke, artiesten",1,773,774,2.0,5.0,False,,"321, 322",18.0,17.0
164,meer waardering,"NUM, NOUN",waardering,1,"meer, waardering",1,778,779,2.0,5.0,False,,"323, 324",23.0,22.0
165,de volkstaal,"DET, NOUN",volkstaal,2,"de, volkstaal",2,781,782,2.0,5.0,False,,"325, 326",26.0,25.0
166,veel vooroordelen,"NUM, NOUN",vooroordelen,3,"veel, vooroordelen",1,786,787,2.0,5.0,False,,"327, 328",30.0,29.0
167,het dialect,"DET, NOUN",dialect,11,"het, dialect",1,789,790,2.0,5.0,False,Lemma occurs to often,"329, 330",33.0,32.0
168,Amsterdammers,NOUN,amsterdam,3,amsterdam,3,795,795,2.0,5.0,True,Token contains Named Entity,331,37.0,37.0
169,taal,NOUN,taal,5,taal,3,806,806,2.0,5.0,False,,332,47.0,47.0
170,een prachtige manier,"DET, ADJ, NOUN",manier,2,"een, prachtige, manier",1,809,811,2.0,5.0,False,,"333, 334, 335",52.0,50.0
171,De wolf,"DET, NOUN",wolf,7,"de, wolf",6,820,821,3.0,0.0,False,Lemma occurs to often,"336, 337",2.0,1.0
172,De wolf,"DET, NOUN",wolf,7,"de, wolf",6,828,829,3.0,1.0,False,Lemma occurs to often,"338, 339",2.0,1.0
173,een vaste bewoner,"DET, ADJ, NOUN",bewoner,5,"een, vaste, bewoner",1,832,834,3.0,1.0,False,,"340, 341, 342",7.0,5.0
174,ons land,"PRON, NOUN",land,3,"ons, land",3,836,837,3.0,1.0,False,,"343, 344",10.0,9.0
175,de laatste tijd,"DET, ADJ, NOUN",tijd,3,"de, laatste, tijd",2,843,845,3.0,1.0,False,,"345, 346, 347",17.0,15.0
176,elke week,"PRON, NOUN",week,1,"elke, week",1,846,847,3.0,1.0,False,,"348, 349",19.0,18.0
177,meer meldingen,"NUM, NOUN",meldingen,1,"meer, meldingen",1,848,849,3.0,1.0,False,,"350, 351",21.0,20.0
178,rondtrekkende wolven,"ADJ, NOUN",wolf,7,"rondtrekkende, wolf",1,851,852,3.0,1.0,False,Lemma occurs to often,"352, 353",24.0,23.0
179,het begin,"DET, NOUN",begin,1,"het, begin",1,859,860,3.0,1.0,False,,"354, 355",31.0,30.0
180,de roofdieren,"DET, NOUN",roofdieren,1,"de, roofdieren",1,868,869,3.0,1.0,False,,"356, 357",39.0,38.0
181,de wolf,"DET, NOUN",wolf,7,"de, wolf",6,873,874,3.0,1.0,False,Lemma occurs to often,"358, 359",44.0,43.0
182,meer dieren,"NUM, NOUN",dier,2,"meer, dier",2,876,877,3.0,1.0,False,,"360, 361",47.0,46.0
183,De goudjakhals,"DET, NOUN",goudjakhals,2,"de, goudjakhals",1,881,882,3.0,2.0,False,Sentence initial,"362, 363",2.0,1.0
184,het eerstvolgende beest,"DET, ADJ, NOUN",beest,2,"het, eerstvolgende, beest",1,885,887,3.0,2.0,False,,"364, 365, 366",7.0,5.0
185,Vorig jaar,"ADJ, NOUN",jaar,2,"vorig, jaar",1,894,895,3.0,2.0,True,Sentence initial,"367, 368",14.0,13.0
186,een goudjakhals,"DET, NOUN",goudjakhals,2,"een, goudjakhals",1,899,900,3.0,2.0,False,,"369, 370",19.0,18.0
187,de heide,"DET, NOUN",heide,1,"de, heide",1,902,903,3.0,2.0,False,,"371, 372",22.0,21.0
188,Dit schepsel,"PRON, NOUN",schepsel,1,"dit, schepsel",1,906,907,3.0,2.0,False,Sentence initial,"373, 374",25.0,24.0
189,de wolf,"DET, NOUN",wolf,7,"de, wolf",6,912,913,3.0,2.0,False,Lemma occurs to often,"375, 376",30.0,29.0
190,een hondachtige,"DET, NOUN",hondachtige,1,"een, hondachtige",1,915,916,3.0,2.0,False,,"377, 378",32.0,31.0
191,tien jaar,"NUM, NOUN",jaar,2,"tien, jaar",1,919,920,3.0,2.0,False,,"379, 380",35.0,34.0
192,de jakhalzen,"DET, NOUN",jakhalzen,1,"de, jakhalzen",1,922,923,3.0,2.0,False,,"381, 382",38.0,37.0
193,Het beest,"DET, NOUN",beest,2,"het, beest",1,927,928,3.0,2.0,False,Sentence initial,"383, 384",42.0,41.0
194,het buitenland,"DET, NOUN",buitenland,1,"het, buitenland",1,932,933,3.0,2.0,False,,"385, 386",47.0,46.0
195,de lynx,"DET, NOUN",lynx,2,"de, lynx",2,938,939,3.0,3.0,False,,"387, 388",3.0,2.0
196,weg,NOUN,weg,1,weg,1,942,942,3.0,3.0,False,,389,6.0,6.0
197,ons land,"PRON, NOUN",land,3,"ons, land",3,944,945,3.0,3.0,False,,"390, 391",9.0,8.0
198,Deze katachtige,"PRON, NOUN",katachtige,1,"deze, katachtige",1,947,948,3.0,3.0,False,Sentence initial,"392, 393",11.0,10.0
199,een herdershond,"DET, NOUN",herdershond,1,"een, herdershond",1,954,955,3.0,3.0,False,,"394, 395",18.0,17.0
200,katachtigen,NOUN,katachtigen,1,katachtigen,1,965,965,3.0,3.0,False,,396,27.0,27.0
201,hondensoorten,NOUN,hondensoorten,1,hondensoorten,1,971,971,3.0,3.0,False,,397,33.0,33.0
202,de jakhals,"DET, NOUN",jakhals,1,"de, jakhals",1,973,974,3.0,3.0,False,,"398, 399",36.0,35.0
203,de wolf,"DET, NOUN",wolf,7,"de, wolf",6,976,977,3.0,3.0,False,Lemma occurs to often,"400, 401",39.0,38.0
204,natuurliefhebbers,NOUN,natuurliefhebbers,1,natuurliefhebbers,1,981,981,3.0,3.0,False,,402,42.0,42.0
205,jaren,NOUN,jaren,1,jaren,1,983,983,3.0,3.0,False,,403,44.0,44.0
206,de komst,"DET, NOUN",komst,2,"de, komst",1,986,987,3.0,3.0,False,,"404, 405",48.0,47.0
207,de lynx,"DET, NOUN",lynx,2,"de, lynx",2,989,990,3.0,3.0,False,,"406, 407",51.0,50.0
208,de beren,"DET, NOUN",beer,4,"de, beer",3,997,998,3.0,4.0,False,,"408, 409",7.0,6.0
